sample_id,scene,paragraph_id,cluster_id,subject,relation,object,rule,anchor,num_supporting_paths,subject_span_ok,object_span_ok,source_step3_file
step4T_7cef4dc53f14655d8967,FloorPlan1,FloorPlan1_FloorPlan1_chunk_0_0_cluster_0_A_diverse_0,FloorPlan1_chunk_0_0_cluster_0,soap_bottle_1,left_of,pot_1,chain_same_direction,potato_1,1,True,True,FloorPlan1_experiment_A_text_diverse.json
step4T_ce30cad906b3b778ae85,FloorPlan1,FloorPlan1_FloorPlan1_chunk_0_0_cluster_0_A_diverse_2,FloorPlan1_chunk_0_0_cluster_0,soap_bottle_1,left_of,wine_bottle_1,shared_anchor_opposite_sides,potato_1,1,True,True,FloorPlan1_experiment_A_text_diverse.json
step4T_cb097e89bf866eab301d,FloorPlan1,FloorPlan1_FloorPlan1_chunk_0_0_cluster_0_A_diverse_2,FloorPlan1_chunk_0_0_cluster_0,wine_bottle_1,right_of,soap_bottle_1,shared_anchor_opposite_sides,potato_1,1,True,True,FloorPlan1_experiment_A_text_diverse.json
step4T_8131a4dbb707a0ee6f91,FloorPlan1,FloorPlan1_FloorPlan1_chunk_1_0_cluster_0_A_diverse_1,FloorPlan1_chunk_1_0_cluster_0,cabinet_2,right_of,stove_knob_2,anchor_between_reversed_surface_form,pepper_shaker_1,1,True,True,FloorPlan1_experiment_A_text_diverse.json
step4T_45924177cfdc2c5f0cc1,FloorPlan1,FloorPlan1_FloorPlan1_chunk_1_0_cluster_0_A_diverse_1,FloorPlan1_chunk_1_0_cluster_0,kettle_1,right_of,salt_shaker_1,chain_same_direction,pan_1,1,True,True,FloorPlan1_experiment_A_text_diverse.json
step4T_7bb373d3254542f99ffe,FloorPlan1,FloorPlan1_FloorPlan1_chunk_1_0_cluster_0_A_diverse_1,FloorPlan1_chunk_1_0_cluster_0,kettle_1,right_of,stove_burner_1,chain_same_direction,pan_1,1,True,True,FloorPlan1_experiment_A_text_diverse.json
step4T_22c83ec872bebac94c83,FloorPlan1,FloorPlan1_FloorPlan1_chunk_1_0_cluster_0_A_diverse_1,FloorPlan1_chunk_1_0_cluster_0,kettle_1,right_of,stove_knob_2,shared_anchor_opposite_sides,pan_1,2,True,True,FloorPlan1_experiment_A_text_diverse.json
step4T_67f1b760dbb8adc19649,FloorPlan1,FloorPlan1_FloorPlan1_chunk_1_0_cluster_0_A_diverse_1,FloorPlan1_chunk_1_0_cluster_0,stove_burner_1,left_of,kettle_1,chain_same_direction,pepper_shaker_1,1,True,True,FloorPlan1_experiment_A_text_diverse.json
step4T_a3f961d30a56ad7d5538,FloorPlan1,FloorPlan1_FloorPlan1_chunk_1_0_cluster_0_A_diverse_1,FloorPlan1_chunk_1_0_cluster_0,stove_knob_2,left_of,cabinet_2,anchor_between_reversed_surface_form,pepper_shaker_1,1,True,True,FloorPlan1_experiment_A_text_diverse.json
step4T_66c7724600fd43127b9c,FloorPlan1,FloorPlan1_FloorPlan1_chunk_1_0_cluster_0_A_diverse_1,FloorPlan1_chunk_1_0_cluster_0,stove_knob_2,left_of,kettle_1,shared_anchor_opposite_sides,pan_1,2,True,True,FloorPlan1_experiment_A_text_diverse.json
step4T_22573f0b39de6c8765fa,FloorPlan1,FloorPlan1_FloorPlan1_chunk_1_0_cluster_0_A_diverse_2,FloorPlan1_chunk_1_0_cluster_0,kettle_1,right_of,stove_burner_2,shared_anchor_opposite_sides,salt_shaker_1,1,True,True,FloorPlan1_experiment_A_text_diverse.json
step4T_bd340cbf86f0d1d31c40,FloorPlan1,FloorPlan1_FloorPlan1_chunk_1_0_cluster_0_A_diverse_2,FloorPlan1_chunk_1_0_cluster_0,stove_burner_2,left_of,kettle_1,shared_anchor_opposite_sides,salt_shaker_1,1,True,True,FloorPlan1_experiment_A_text_diverse.json
step4T_e9667c9b341c2cacf84e,FloorPlan1,FloorPlan1_FloorPlan1_chunk_1_0_cluster_0_A_diverse_3,FloorPlan1_chunk_1_0_cluster_0,kettle_1,right_of,stove_burner_1,anchor_between_reversed_surface_form,spatula_1,1,True,True,FloorPlan1_experiment_A_text_diverse.json
step4T_e8a94396290ae8ae92c3,FloorPlan1,FloorPlan1_FloorPlan1_chunk_1_0_cluster_0_A_diverse_3,FloorPlan1_chunk_1_0_cluster_0,kettle_1,right_of,stove_knob_1,anchor_between_reversed_surface_form,spatula_1,1,True,True,FloorPlan1_experiment_A_text_diverse.json
step4T_5ed712e4cdbe409aa16d,FloorPlan1,FloorPlan1_FloorPlan1_chunk_1_0_cluster_0_A_diverse_3,FloorPlan1_chunk_1_0_cluster_0,pan_1,right_of,stove_burner_1,chain_same_direction,pepper_shaker_1,1,True,True,FloorPlan1_experiment_A_text_diverse.json
step4T_5eeb02600567488b1064,FloorPlan1,FloorPlan1_FloorPlan1_chunk_1_0_cluster_0_A_diverse_3,FloorPlan1_chunk_1_0_cluster_0,plate_1,right_of,stove_burner_1,anchor_between_reversed_surface_form,pepper_shaker_1,1,True,True,FloorPlan1_experiment_A_text_diverse.json
step4T_2672d02b9febf765b0dc,FloorPlan1,FloorPlan1_FloorPlan1_chunk_1_0_cluster_0_A_diverse_3,FloorPlan1_chunk_1_0_cluster_0,stove_burner_1,left_of,kettle_1,anchor_between_reversed_surface_form,spatula_1,1,True,True,FloorPlan1_experiment_A_text_diverse.json
step4T_c51035466599af1bcb5a,FloorPlan1,FloorPlan1_FloorPlan1_chunk_1_0_cluster_0_A_diverse_3,FloorPlan1_chunk_1_0_cluster_0,stove_burner_1,left_of,plate_1,anchor_between_reversed_surface_form,pepper_shaker_1,1,True,True,FloorPlan1_experiment_A_text_diverse.json
step4T_2f7b52fcc4b68c3dfb7f,FloorPlan1,FloorPlan1_FloorPlan1_chunk_1_0_cluster_0_A_diverse_3,FloorPlan1_chunk_1_0_cluster_0,stove_knob_1,left_of,kettle_1,anchor_between_reversed_surface_form,spatula_1,1,True,True,FloorPlan1_experiment_A_text_diverse.json
step4T_3ece07dab48bbec9b549,FloorPlan1,FloorPlan1_FloorPlan1_chunk_1_2_cluster_0_A_diverse_0,FloorPlan1_chunk_1_2_cluster_0,apple_1,left_of,stool_1,chain_same_direction,book_1,1,True,True,FloorPlan1_experiment_A_text_diverse.json
step4T_663a136bfa4115c0bcb0,FloorPlan1,FloorPlan1_FloorPlan1_chunk_1_2_cluster_0_A_diverse_1,FloorPlan1_chunk_1_2_cluster_0,credit_card_1,left_of,stool_1,anchor_between_reversed_surface_form,book_1,1,True,True,FloorPlan1_experiment_A_text_diverse.json
step4T_520bb150cc9be513f312,FloorPlan1,FloorPlan1_FloorPlan1_chunk_1_2_cluster_0_A_diverse_1,FloorPlan1_chunk_1_2_cluster_0,stool_1,right_of,credit_card_1,anchor_between_reversed_surface_form,book_1,1,True,True,FloorPlan1_experiment_A_text_diverse.json
step4T_d4801442837e62272f66,FloorPlan1,FloorPlan1_FloorPlan1_chunk_1_2_cluster_0_A_diverse_3,FloorPlan1_chunk_1_2_cluster_0,apple_1,left_of,stool_1,chain_same_direction,book_1,1,True,True,FloorPlan1_experiment_A_text_diverse.json
step4T_8d336c739c5326d22e85,FloorPlan1,FloorPlan1_FloorPlan1_chunk_2_0_cluster_0_A_diverse_2,FloorPlan1_chunk_2_0_cluster_0,bottle_1,right_of,pan_1,shared_anchor_opposite_sides,fork_1,1,True,True,FloorPlan1_experiment_A_text_diverse.json
step4T_c22e26be63cce439ad8d,FloorPlan1,FloorPlan1_FloorPlan1_chunk_2_0_cluster_0_A_diverse_2,FloorPlan1_chunk_2_0_cluster_0,pan_1,left_of,bottle_1,shared_anchor_opposite_sides,fork_1,1,True,True,FloorPlan1_experiment_A_text_diverse.json
step4T_3b6605cfeff0cf9153ff,FloorPlan1,FloorPlan1_FloorPlan1_chunk_2_0_cluster_0_A_diverse_2,FloorPlan1_chunk_2_0_cluster_0,pan_1,left_of,shelf_1,chain_same_direction,fork_1,1,True,True,FloorPlan1_experiment_A_text_diverse.json
step4T_7fab68a24ab1f61b7f2f,FloorPlan1,FloorPlan1_FloorPlan1_chunk_2_0_cluster_0_A_diverse_2,FloorPlan1_chunk_2_0_cluster_0,pan_1,left_of,shelf_2,chain_same_direction,fork_1,1,True,True,FloorPlan1_experiment_A_text_diverse.json
step4T_4de84b428a7ca66e7bfa,FloorPlan1,FloorPlan1_FloorPlan1_chunk_2_0_cluster_0_A_diverse_2,FloorPlan1_chunk_2_0_cluster_0,pan_1,left_of,vase_2,shared_anchor_opposite_sides,spoon_1,1,True,True,FloorPlan1_experiment_A_text_diverse.json
step4T_416f48e1620bc95f7e9d,FloorPlan1,FloorPlan1_FloorPlan1_chunk_2_0_cluster_0_A_diverse_2,FloorPlan1_chunk_2_0_cluster_0,vase_2,right_of,pan_1,shared_anchor_opposite_sides,spoon_1,1,True,True,FloorPlan1_experiment_A_text_diverse.json
step4T_7522d7f733b3cb4d8217,FloorPlan1,FloorPlan1_FloorPlan1_chunk_2_0_cluster_0_A_diverse_3,FloorPlan1_chunk_2_0_cluster_0,pan_1,left_of,vase_2,chain_same_direction,bottle_1,1,True,True,FloorPlan1_experiment_A_text_diverse.json
